subID,gender,hpc_acq,dlpfc_acq,hpc_ext,dlpfc_ext,hpc_tes,dlpfc_tes
3,male,0.4398895777743,0.386854858494363,0.319693941368472,0.221798745399683,0.333809462934818,0.941801036184192
5,male,0.0620338646952019,-0.129370681764498,0.464804871762682,1.18499841824945,0.598561630320088,0.965702104154188
6,male,-0.296299546462541,0.494000368903295,0.559012295763747,0.394823061336685,-0.312925934050656,-0.143205724771552
7,female,-0.0906047065155322,0.733244154620109,-0.371525645206087,0.0002419170728639,-0.466219130107599,0.0702463665380856
8,male,-0.0128692903935235,0.289487998140245,-0.296669859011938,0.258891191845668,-0.163787708060317,-0.00948260316530196
9,female,0.00648344767942191,0.892646295712505,0.0627471588656625,-0.327911447038666,0.22545340388826,0.377260824826171
10,female,0.396807248910063,0.291568197902031,-0.034547619629933,0.638541970906116,-0.0568923681405796,0.711844097590408
11,male,0.545316232117702,0.998764025370745,0.0914810783778139,0.595253380508005,-0.183837470183961,-0.046014604659392
12,male,-0.366783895575345,-0.545053674462972,-0.193240515332139,0.142237019506463,0.423991538683195,0.449671254701183
13,male,0.27243817305102,0.645761137874674,0.308754936390911,-0.287639831373817,0.621943508916256,0.96613414768094
14,female,-0.108287309679191,0.615416890092365,0.167135156202761,-0.0782453853422951,-0.100521869217305,0.153832367000964
15,female,0.317699548234489,0.679946753541948,0.265426466809523,0.918230962525096,0.466898568329861,0.126379013845577
16,male,-0.116223565561138,-0.0693561655584365,0.301705140360239,0.00825511399067802,0.644152678006342,0.299028410633804
17,male,-0.147738128855523,0.0113553799875718,-0.867965018624578,0.0649322772976494,0.0566607396588492,0.191842438130761
18,male,0.541340132977083,0.407348643255956,-0.161955259773272,0.612713878913318,-0.44731781417703,-0.0932754292838947
19,male,0.810691337191315,0.152142277994141,-0.55440094817508,0.14690105233294,0.00526616927788695,-0.105035137734358
20,female,-0.510347080682824,0.219257150479123,0.468583133229553,0.602420504423408,-0.00288606170340298,0.286802274913764
21,male,-0.00325320715919376,0.438230370458425,0.81013141342408,1.19851082000182,0.453764324346329,0.130672138304851
22,male,-0.0501155651090588,0.27897110407247,-0.313283763931438,0.383697243370677,-0.433455136591385,-0.341834779415892
23,male,0.0226582808642536,0.450493412120591,-0.365657557108331,0.467157249254984,-0.037725665089854,0.100474067680205
24,male,0.509977072632089,0.629048816865746,-0.635589883659466,-0.435141008126235,-0.380083814571091,-0.544454692476047
25,female,0.29231970232128,0.585232180966769,-0.0939408255140514,-0.0723439257201503,-0.452113606259407,-0.0945840887667374
26,male,0.607045185927033,0.914227165272055,0.444980324481733,-0.0252412592638277,-0.231465320511848,0.489294462768534
27,male,-0.269644707255638,0.130720850445211,0.198505759263556,0.415639431474684,-0.544488936074104,-0.0835078785015343
28,female,-0.190443027604721,-0.204253806650076,-0.026645561235445,-0.0785910120270242,0.257590207956146,0.622332183521813
29,male,0.734123422379268,0.365131901406028,0.275777890048043,0.0837085958926171,0.327736323439841,0.862261922261598
30,female,0.0688525062172752,0.733874837032414,0.811566186645725,0.560924438776861,0.453435822853666,0.580010192293075
31,female,0.218745052230668,0.231610835786773,0.424041835970458,-0.168472512687182,0.0962640011116309,0.235919414503782
32,female,0.934949203391293,-0.0426082094739294,0.572262208776527,0.959182819689879,0.0125974719950202,0.0444654037449574
33,male,0.631561527939519,0.140445314065094,0.0625256008018077,0.489084718143636,0.262050832361518,0.417594938949312
34,male,0.426857391217878,0.706304898057633,-0.0333403405966294,-0.299327275916577,0.523389791560382,0.131507642904583
35,male,0.0866411689872248,-0.0738235647570439,-0.802885953855937,-0.263509802899678,0.767779424062314,0.704506951089311
36,male,0.0428002495702616,0.21075124672257,0.0434797759430834,0.586161549161586,-0.510572198895166,0.465534328239338
37,male,1.06692827814221,0.517327560530574,0.543313991858851,0.893344198839732,0.636054098744453,0.696260263363731
38,male,0.476830740748072,-0.169822416203781,0.235252826278981,1.24189683815003,-0.11844588946299,-0.104405120507104
39,female,-0.0459241001980852,0.0487153211555407,0.104313189036701,0.229531900387558,-0.341848166758693,0.786672299533476
40,male,0.432707663866968,0.171460124204172,0.145978602990883,0.403941646977363,0.26938465862934,0.307293681628392
41,male,0.479208509856706,0.0731586886846604,0.112979257276432,-0.250288521706127,0.211333030190305,-0.703528232726335
42,male,-0.0145579640621389,0.596336100129957,-0.290994586501583,0.0959253849128656,-0.112033249878422,0.130517106033441
43,male,0.615154444366255,0.428402564515037,-0.343354631377395,-0.304690664916637,0.0273557264103522,-0.435903356588608
44,female,0.0850172802800402,0.202244665931674,-0.320066094406151,0.0677595139756573,0.463580031424562,0.478227141919096
