subID,gender,hpc_acq,dlpfc_acq,hpc_ext,dlpfc_ext,hpc_tes,dlpfc_tes
3,male,-0.128495150876907,-0.085195830465271,-0.182975539880774,0.206395718012876,-0.254260038141428,0.336128901815887
5,male,0.592262773726388,0.0376494710895044,1.38749457735545,0.821152759535287,0.356280905854164,0.139323772658668
6,male,-0.146483255484128,0.162863329616335,0.449504724860743,0.585270244007019,-0.126957238924502,0.173005351446033
7,female,0.710856222328776,0.915371928806734,-0.10976439185994,0.291939041284353,-0.0380681715232427,-0.0186266504687435
8,male,0.464211726629922,0.205282512480907,1.07927481649796,0.891067594186381,0.219742270249524,0.761883378405596
9,female,-0.474305529696955,0.688692794901176,0.529951059945176,-0.256730842470778,-0.239074109565317,0.567099031726521
10,female,-0.759060865007644,0.935859863560062,0.975976303378349,0.0248250143598478,0.404245341125787,0.360064468389156
11,male,-0.264901147130048,0.435331404254499,1.15743825054982,0.134368539262422,-0.1167667058895,0.887993072844881
12,male,-0.19087465299949,-0.00767126777861162,-0.0924724039434651,0.278994213314357,0.26737203008529,0.788059434300995
13,male,0.438276666469588,0.546896459749607,0.657028800747892,0.6255084035743,0.542567375634347,-0.164516831998741
14,female,0.518484250957037,1.22593584020398,0.230248302826563,0.0856604900659831,-0.581844583055719,-0.0824121783657819
15,female,0.217219280046169,0.721296173452567,0.353840211807817,-0.0209823097656188,-0.0293307742996526,0.329921773201273
16,male,0.0326921622591701,-0.102658903351957,-0.301224958058579,0.805949466785738,-0.157454150094335,0.256063342768337
17,male,0.358783209468344,0.256010729133022,0.236815411144905,0.0322311432805348,0.0319630906981475,-0.239628217238941
18,male,0.0584825804524381,-0.034320054315241,-0.0653856230412817,-0.335066333763291,-0.398768817303981,0.484682469990876
19,male,0.147789479588428,0.342450877604752,0.2582186141042,0.166982512394883,0.186072190081574,-0.073808896376604
20,female,0.149714999388099,0.190773113410575,0.447219348601698,1.10805945237219,-0.155791197359615,-0.550882204222293
21,male,0.0905832331405028,0.149483834574861,0.289105626999134,1.16863767615393,0.0597711394834738,-0.0577359623611391
22,male,-0.0538856563453478,-0.148559922527561,-0.0351187511635308,0.377007256122948,-0.361344499922803,0.697809837853012
23,male,-0.048237088306001,0.424483260168668,1.10287476464996,0.775449023041234,-0.194377810352406,0.0445214997505743
24,male,0.150874241727577,0.291436673001823,0.255257532457791,-0.033215103983868,-0.273400431077917,-0.296376438717421
25,female,0.00249596922494641,-0.278061353023112,-0.891516467735708,-0.585275692425001,-0.378241615324489,-0.151014970679133
26,male,0.428856501484551,0.244416258230293,0.0884472106337379,-0.258320486763466,-0.529706457281337,0.246658944228514
27,male,0.318431312527486,-0.44324601068031,-0.163081744406477,0.125248666017091,-0.549051566214257,-0.211191304224367
28,female,0.415435232581632,0.14910429437773,0.42431951332032,-0.0202887387372125,0.0893683562408841,-0.187700161165602
29,male,0.574293606876218,0.455946969415737,-0.163933706956366,0.182237701507563,-0.19818692345123,0.599334229760071
30,female,0.0896865061363721,0.19397078109034,0.465022214134099,0.346867984194354,0.0909822658060537,0.463315046021985
31,female,-0.197286097950554,0.384196203870959,-0.256989585183105,0.941466231098735,-0.57467344319848,-0.0919135075638447
32,female,0.474632226751692,-0.225764191634946,-0.34692830348002,0.278987913101029,-0.415434460789161,0.940660257837765
33,male,0.444799852883806,0.0326467926170118,0.0444074211806304,-0.161522477433068,-0.0703107851880365,0.247465072604745
34,male,0.000642454399371148,0.0217345347520018,-0.211272656786801,0.903381654950527,0.757758600688934,0.398633643142642
35,male,0.156724282096143,0.497931959072092,0.540226051616366,0.073921162637045,-0.142487918430171,0.469541351123788
36,male,-0.218282979086363,0.464768092639036,0.112063585925289,0.576382296103628,0.12350909922797,0.926900712686059
37,male,0.729478989204786,0.294147973973198,0.0209886299943577,0.0102562024020095,0.631462565489197,0.388505944612247
38,male,0.171708097795656,0.390749664337938,-0.142321007723577,0.177159153370773,0.441978385739542,0.285380269912982
39,female,0.112915699061537,-0.203329270894446,0.359681787598525,0.163455835291918,-0.0515385980206805,0.865405961842322
40,male,0.146017403587481,-0.219182458247708,0.164165075592684,0.737198547726291,0.0303122014928259,-0.280299074320171
41,male,0.469442798460823,0.556392888810339,0.934118188214199,-0.297231911640182,-0.193241038470585,0.749702227831812
42,male,0.670182832856378,0.00853768665924987,-0.474078217807651,-0.238681111086547,-0.140894171805222,0.447581524997217
43,male,0.0238775976255161,0.108386909119343,0.697682311961562,0.669155272038139,0.013002096390394,0.2748906257213
44,female,-0.0888333825974346,0.874783307936559,0.759417248359311,-0.304897479435219,-0.778965946279016,0.204313061034063
