subID,gender,csp_ext2tr,csps_ext2tr,cspe_ext2tr
1,female,0,0,0
3,male,0,0,0
5,male,0.0410050021240307,0,0.0820100042480614
6,male,0,0,0
8,male,0,0,0
9,female,0.0829301607474198,0.0672047763126079,0.0986555451822317
10,female,0,0,0
11,male,0.000622482248074416,-0.125219281340795,0.126464245836943
12,male,0.132183478754205,0.382183478754205,-0.117816521245795
13,male,0.0555949359214974,0,0.111189871842995
15,female,0,0,0
16,male,-0.020823758398959,-0.0896373470376992,0.0479898302397813
17,male,-0.231600178246594,-0.087181074370897,-0.376019282122292
18,male,0,0,0
19,male,0.142417614334819,0.0378731322265069,0.24696209644313
20,female,0,0,0
21,male,0.175621484888449,0.351242969776897,0
22,male,0.25,0,0.5
23,male,0.25,0.5,0
24,male,0.148096710940536,0.318437768007734,-0.0222443461266627
25,female,0.114215160357187,0.228430320714373,0
26,male,0.244315054917159,0.146894643295802,0.341735466538516
27,male,-0.255771125736116,-0.367986360955595,-0.143555890516637
28,female,0,0,0
29,male,0.0931828236879984,-0.0232291756193408,0.209594822995338
30,female,0,0,0
31,female,0,0,0
32,female,0,0,0
33,male,0.169800724673504,0.115719510428298,0.223881938918711
34,male,0.258510881746846,0.0512976074872538,0.465724156006438
35,male,-0.042447578787774,-0.042447578787774,-0.042447578787774
36,male,0.0169146992376711,0,0.0338293984753422
37,male,0.0135756457724832,0,0.0271512915449664
38,male,0.144072092548526,-0.143523903837347,0.431668088934399
39,female,0,0,0
40,male,-0.0627334117923811,-0.0521504206687212,-0.073316402916041
42,male,0,0,0
43,male,0.112988023228571,0.208610151387046,0.0173658950700963
