subID,gender,hpc_acq_Sp,dlpfc_acq_Sp,hpc_ext_Sp,dlpfc_ext_Sp,hpc_tes_Sp,dlpfc_tes_Sp,hpc_acq_Up,dlpfc_acq_Up,hpc_ext_Up,dlpfc_ext_Up,hpc_tes_Up,dlpfc_tes_Up
3,male,0.358333333333333,0.345833333333333,0.308333333333333,0.366666666666667,0.308333333333333,0.341666666666667,0.203703703703704,0.333333333333333,0.333333333333333,0.466666666666667,0.2,0.233333333333333
5,male,0.35,0.345833333333333,0.516666666666667,0.433333333333333,0.508333333333333,0.633333333333333,0.388888888888889,0.351851851851852,0.4,0.333333333333333,0.3,0.6
6,male,0.304166666666667,0.441666666666667,0.425,0.508333333333333,0.375,0.441666666666667,0.333333333333333,0.407407407407407,0.433333333333333,0.5,0.566666666666667,0.433333333333333
7,female,0.4,0.35,0.3,0.575,0.408333333333333,0.325,0.37037037037037,0.407407407407407,0.3,0.533333333333333,0.366666666666667,0.366666666666667
8,male,0.375,0.354166666666667,0.466666666666667,0.5,0.408333333333333,0.45,0.537037037037037,0.388888888888889,0.366666666666667,0.266666666666667,0.4,0.6
9,female,0.2875,0.333333333333333,0.491666666666667,0.558333333333333,0.333333333333333,0.425,0.425925925925926,0.351851851851852,0.333333333333333,0.366666666666667,0.3,0.466666666666667
10,female,0.320833333333333,0.308333333333333,0.383333333333333,0.391666666666667,0.425,0.475,0.351851851851852,0.314814814814815,0.466666666666667,0.333333333333333,0.3,0.3
11,male,0.416666666666667,0.329166666666667,0.566666666666667,0.633333333333333,0.4,0.341666666666667,0.425925925925926,0.444444444444444,0.4,0.333333333333333,0.333333333333333,0.466666666666667
12,male,0.379166666666667,0.433333333333333,0.575,0.508333333333333,0.55,0.483333333333333,0.351851851851852,0.444444444444444,0.4,0.5,0.2,0.433333333333333
13,male,0.370833333333333,0.383333333333333,0.416666666666667,0.408333333333333,0.441666666666667,0.408333333333333,0.444444444444444,0.407407407407407,0.266666666666667,0.4,0.266666666666667,0.566666666666667
